,sentence,sentiment,polarity
313,"NEW YORK -- The economy continues to edge higher, and the consensus forecast is that the gains will continue, at least through 1988. The stock market, which moved upward last year mainly because of lower interest rates, now seems to be focusing mainly on an expectation of better corporate earnings. Meanwhile, the dollar is showing new weakness, the budget deficit isn't sinking very much, and a revival of inflation begins to look like a realistic possibility.</br></br>That's more or less the situation the Federal Open Market Committee will confront next month as it meets to plan monetary policy for 1987. What will the committee decide to do?</br></br>It may not matter very much. Last February the FOMC decided that M1, the narrowly defined money supply, should grow at a rate between 3% and 8% in 1987. In July the committee reaffirmed that range but also said that growth in excess of 3% to 8% would be ""acceptable."" It's a good thing the committee left itself some leeway, since the actual growth rate was about 17%.</br></br>But the committee, whose voting members are the Federal Reserve governors and five of the regional Reserve Bank presidents, is required by law to say something. Composing the statement will be a little more difficult than usual this time, since the Fed seems to have gotten itself into a box.</br></br>Through last year the Federal Reserve was under pressure from the Reagan administration to force interest rates lower, depreciate the dollar and stimulate economic growth. Chairman Paul Volcker made occasional noises to the effect that a falling dollar could be inflationary, but by and large the Fed went along. After all, the consumer price index last year rose at an annual rate of 1.1%, so why worry about inflation?",7.0,1
323,"NEW YORK--Gold and silver futures fell as investors worried that an upbeat U.S. jobs report would pave the way for the Federal Reserve to taper off its stimulus efforts.</br></br>Gold for August delivery, the most active contract, settled $39.20, or 3.1%, lower at $1,212.70 an ounce on the Comex division of the New York Mercantile Exchange.</br></br>Silver for September delivery fell 96.4 cents, or 4.9%, to $18.736 an ounce.</br></br>Both precious metals took heavy losses after Labor Department data showed U.S. nonfarm payrolls rose by 195,000 in June, surpassing forecasts for a 160,000 increase. The unemployment rate, compiled from a separate survey, held steady at 7.6%.</br></br>Gold traders worry that the stronger data will lead the Fed to pare back its $85-billion-a-month bond-purchasing program, which has kept interest rates low and lent support to the gold market.",6.0,1
327,"WASHINGTON -- The Conference Board's index of leading indicators moved up slightly in March, signaling that U.S. economic expansion probably will continue vigorously through 1998.</br></br>Michael D. Boldin, director of business-cycle research at the New York business-research organization, said the economic omens point to continued strong growth in gross domestic product in the months ahead.</br></br>""It looks like above 3% is not impossible for the whole year,"" Mr. Boldin said. Last week, the government reported that the economy expanded in the first quarter at an annualized rate of 4.2%, but few economists believe that pace is sustainable through the rest of the year. The leading-indicators index, considered a reasonable predictor of turning points in the economy, measured 105.2, up from 105 in February.</br></br>The March increase came largely from two of the 10 components that make up the index: stock prices and money supply. Both of those measures reflect the strength of financial markets and are considered fairly reliable indicators of the strength of future economic growth, not just of whether the economy will stay out of recession.</br></br>Other increases were seen in orders to manufacturers for consumer goods and a measure of suppliers' delivery times. Declines were seen in big-ticket orders to manufacturers, excluding defense contracts.",7.0,1
338,"NEW YORK -- The bond market rallied yesterday amid expectations that lackluster economic growth will induce the Federal Reserve to push interest rates lower in coming months.</br></br>Prices of some Treasury bonds rose about three-quarters of a point, or around $7.50 for each $1,000 face amount. Interest rates declined at the Treasury's weekly auction of short-term bills.</br></br>""More people are becoming convinced that the economy is weak and that the Fed will lower the discount rate,"" said Elliott Platt, senior vice president and economist at Donaldson, Lufkin & Jenrette Inc. He predicted the Fed will cut the discount rate to 5% by mid-February to try to bolster economic activity. The discount rate, currently 5 1/2%, is the fee charged by the Fed on loans to banks and savings institutions.</br></br>Mr. Platt estimated that the economy is growing at an annual rate of only about 2 1/2% this quarter, compared with a 2.9% rate in the third quarter, after inflation. He expects a still lower 1 1/2% growth rate in next year's first quarter.</br></br>Maury N. Harris, chief economist at PaineWebber Inc., agreed that the economy ""is softening"" and that the central bank will ease credit early next year. Business activity will expand at a lethargic 2% annual rate in 1987's first quarter, he predicted. That won't be enough to satisfy Fed officials, who he said would prefer a rate closer to 3%.",4.0,0
339,"STOCK INDEXES finished the quarter with a whimper, but still turned in one of their strongest quarterly performances in years.</br></br>With a decline of 3.61 points, to 8985.44 yesterday, the Dow Jones Industrial Average failed to return to the 9000 level. Yet its red-hot spring rally left the blue-chip index up 12% for the past three months and up 7.7% for the first half of the year. It was the first time the industrial average has finished a first half with a gain since 1999, the last year of the bull market that ended more than three years ago.</br></br>U.S. stock mutual funds jumped an average of more than 17% for the quarter, the strongest performance since the fourth quarter of 1999, according to preliminary numbers calculated by Lipper Inc. through Friday. (Lipper completes the final quarterly tally today.)</br></br>Some market analysts view the recent rally as a positive sign for those hoping the indexes can break a three-year streak of annual losses. But analysts also noted that stocks now seem to be drifting sideways after hitting a peak on June 17. For much of the spring, professional investors bought stocks in hopes that government stimulation would provoke an economic recovery. Now, increasingly, money managers are in a ""show me"" mode, looking for signs of the recovery.</br></br>Major companies are poised to begin announcing second-quarter results in about a week, at which time they also will be providing investors with readings on whether business conditions really are improving.",6.0,1
346,"NEW YORK--As investors assessed the damage from Hurricane Sandy, stock futures indicated a slight rise from where stocks traded Friday after a positive reading on U.S. housing data and encouraging economic news in Europe.</br></br>Stock markets are closed for a second day Tuesday, and the bond markets are also closed, in the aftermath of Hurricane Sandy. Trading in stock futures ended at 9:15 a.m. EDT, as scheduled.</br></br>Millions in the eastern U.S. were left without power, with a Consolidated Edison official saying it could take up to a week to restore power to the bulk of Manhattan. Estimates for the financial impact of the storm are running into the billions of dollars.</br></br>At the close of morning futures trading, Dow Jones Industrial Average futures had gained eight points from Friday's level, or 0.1%, to 13062. Dow futures had been down as much as 1% in overnight trading.</br></br>Futures on the Standard & Poor's 500-stock index rose about 3.5 points, or 0.3%, to 1411.10. Nasdaq 100 futures lost 3.75 points, or 0.1%, to 2655.25.",7.0,1
350,"For months, pessimistic bond markets and optimistic central bankers have been in a tug of war over where the world economy is headed. A renewed plunge in long-term interest rates world-wide suggests the pessimists are winning.</br></br>Government bond yields in the U.S., the euro zone and Asia have all fallen sharply in recent weeks, fed by a diet of disappointing economic data, lackluster business investment and -- in a new development yesterday -- hopes that the Federal Reserve will soon take a break from raising interest rates.</br></br>The decline in long-term interest rates mystifies central bankers -- even Fed Chairman Alan Greenspan. They see creeping inflation risks and a still-robust outlook for the global economy outside of Europe. And they're increasingly concerned that low long-term rates are also fueling an unsustainable surge in housing prices.</br></br>Prices of 10-year Treasury bonds jumped yesterday and yields, which move in the opposite direction, tumbled to 3.89%, from 4% Tuesday. That's the lowest since March last year, before the first of the Fed's eight quarter-percentage-point interest-rate increases. The drop came after Richard Fisher, new president of the Federal Reserve Bank of Dallas, said that the Fed is in the ""eighth inning"" of raising rates, suggesting he believed an increase by the Fed later this month might be its last. Investors expect the Fed to boost its target for the federal-funds rate, charged on overnight loans between banks, to 3.25% from 3% at its meeting on June 29 to June 30.</br></br>Mr. Fisher's comments are at odds with those of other Fed officials who have emphasized that interest rates are still too low to ensure low inflation. But his remarks reinforced a view of many bond traders and a few economists that economic growth in the U.S. is slowing and inflation is ebbing, both of which will lead the Fed to take a pause from raising rates.",4.0,0
363,"Federal Reserve officials reaffirmed their plan to try winding down an easy-money program that has charged up global markets but left investors on tenterhooks about when or how aggressively they would move.</br></br>Minutes of the Fed's July 30-31 policy meeting, released Wednesday, suggested officials were on track to start winding down the $85 billion-a-month bond-buying program, possibly as early as September, if the economy strengthens as they expect.</br></br>They were, however, a bit more uncertain than in June about whether economic growth would pick up as they forecast and about the gains they were seeing in the job market.</br></br>Reflecting the cautiousness shown in the minutes and their own uncertainty about how the economy will perform in the months ahead, some Fed officials have begun talking about making a small move when they do start pulling back on bond buying. ""If you're very uncertain about how strong the improvement in the economy is, and how self-sustaining, then you should move in fairly small increments,"" Eric Rosengren, president of the Federal Reserve Bank of Boston, said in an interview Wednesday with The Wall Street Journal.</br></br>Mr. Rosengren, a strong supporter of the easy-money policies, said he was still forming a judgment about whether the economy was improving as expected. ""This is a good time to be patient and very watchful,"" he said.",6.0,1
365,"The U.S. dollar declined against major foreign currencies yesterday because of lower U.S. interest rates, which make dollar-denominated investments less attractive, and a larger-than-expected decline of 0.9% in U.S. July retail sales.</br></br>The foreign-exchange market had expected July retail sales to advance by about 0.3%, said Gil Leiendecker Jr., a vice president and manager of the foreign-exchange department of Salomon Brothers Inc., New York. The drop indicated the U.S. economy is slowing faster than expected.</br></br>Gold rose $4.20 an ounce in response to the decline of the dollar and U.S. interest rates, which make gold purchases easier to finance.</br></br>Jordan Black, an assistant treasurer of Chase Manhattan Bank, New York, said the feeling that U.S. interest rates might continue to ease also hurt the dollar. ""But people are hesitant to sell too many dollars,"" he added, ""in the belief that the Federal Reserve may have to tighten credit conditions in the period just after the U.S. election."" Any tightening could lead to higher U.S. interest rates.</br></br>Peter Rogers, an assistant vice president and assistant chief foreign-exchange dealer of Manufacturers Hanover Trust Co., New York, said that ""if we don't see a strong rise in the U.S. industrial production number (to be released today), there could be a substantial correction in the dollar."" The market curently expects U.S. July industrial production to climb by about 0.7%. ""My feeling,"" he said, ""is that short-term sentiment about the strength of the dollar has changed.""",2.0,0
366,"Easy Money Tugs Two Ways at Trade Gap</br></br>The trade deficit is a case study in the unintended consequences of easy money.</br></br>The Commerce Department releases April trade data Wednesday morning. Economists think the deficit widened a bit, to $29 billion, from $27.6 billion in March. That would end an eight-month streak of narrower deficits that has cut the gap roughly in half, thanks first to a surge in exports and then to tumbling oil prices.</br></br>A narrower trade deficit is potentially good economic news on several fronts. For one, from an accounting perspective, exports add to gross domestic product, while imports subtract from it. From a fundamental standpoint, it is often healthier for a country to export more than it imports -- though collapsing imports can also signal weak demand at home, as they have in this recession.</br></br>Here's where the unintended consequences of fighting that recession come in: The money being pumped into the economy by the Federal Reserve has made some investors anxious about inflation, sometimes defined as the result of too much money chasing too few goods.",3.0,0
370,"Help Wanted</br></br>For Economy</br></br>From Jobs Data</br></br>The job market has been a bright spot for the economy. But, beneath the surface, it might not be as healthy as it looks.</br></br>Consider what's happening in unemployment-benefit offices. There haven't been many changes in the number of people filing initial claims for government unemployment benefits, a closely watched indicator of layoffs. In the week ended Saturday, initial jobless claims held steady nationwide at a seasonally adjusted level of 318,000, not much more than the 315,000 who filed a year earlier.",4.0,0
373,"WASHINGTON -- Large gains in personal income and consumer spending in September indicate that the economy probably will continue to grow at a moderate rate in coming months.</br></br>Personal income rose by a sturdy 0.9% during the month and consumer spending increased an even more robust 1.4%, the Commerce Department reported.That compares with income growth of 0.6% and flat consumption in August.</br></br>""These numbers should lay to rest for the time being any fears of recession,"" said Allen Sinai, chief economist for Shearson Lehman/American Express Inc.</br></br>The report, which follows two months of largely sluggish economic statistics, was good news for President Reagan, who has just 2 1/2 weeks left in his reelection campaign.</br></br>But the department's report wasn't all roses. A consumption-based inflation measure, which is reported with a one-month lag, showed that prices paid by consumers were rising at a 0.6% rate in both July and August. That suggests an annual inflation rate exceeding 7%.",6.0,1
375,"NEW YORK -- Currency traders may be in for a bumpy ride this week as serious questions about interest rates, European Union and global trade bombard the market.</br></br>Market participants face a host of U.S. economic indicators that hold clues on the outlook for U.S. interest rates. What's more, Italy's chances of participating in Europe's single currency plan from the start hang in the balance as the country tries to put together a temporary government that can pass its 1998 budget. Meantime, U.S.-Japanese trade tensions have resurfaced in force, beating the dollar back below 120.00 yen.</br></br>Late Friday in New York the dollar was quoted at 1.7485 marks, up from 1.7435 marks late Thursday in New York. The U.S. currency also was quoted at 119.85 yen, down from 121.14 yen. Sterling fell to $1.6215 from $1.6244. About noon Monday in Tokyo, the dollar was trading at 120.23 yen and at 1.7508 marks.</br></br>""There isn't a [market] trend at this point. It's more just a matter of being reactive,"" said Scott Pardee, a senior adviser at Yamaichi International America in New York.</br></br>The renewed expectation of higher rates in the U.S. should lend some support to the dollar, especially if data on prices, sales and production slated for release this week provide Federal Reserve Board Chairman Alan Greenspan with ammunition to follow up on his intimations of higher rates.",2.0,0
377,"So-called safe-harbor flows have meant strong currents for the U.S. Treasurys market throughout the credit-market shakeout.</br></br>Now it looks like their absence could leave investors flailing. The Federal Reserve's efforts to keep cash moving in the financial system have stopped short of the sort of interest-rate cut the market craves, but they have weighed on Treasurys nevertheless. The question is how much government bonds will suffer from any turnaround in the credit and stock markets.</br></br>Friday, the Fed cut the borrowing rate on its discount window to 5.75% and extended the term from overnight to 30 days, with the option to renew. The central bank left the key federal-funds rate untouched at 5.25%.</br></br>It was enough to prompt a significant drop in prices of long-dated Treasurys. The benchmark 10-year note fell 19/32 point, lifting its yield to 4.673%, as debt prices and yields move inversely. At the same time, the Dow Jones Industrial Average surged 1.8%.</br></br>The feeling in the market now is that it isn't so much a question of whether the Fed will cut the fed-funds rate, but when it will do so. According to Credit Suisse, it is a matter of strategy alone; an early cut risks overstepping the mark and forcing an adjustment down the line, with all the attendant volatility and potential damage to the bank's credibility. If credit markets stabilize, the Fed can bide its time and take a more measured approach.",8.0,1
386,"Dow Jones Newswires</br></br>NEW YORK -- Selling in the tobacco group combined with profit warnings and high oil prices to nudge small-capitalization stocks into the minus column with the overall market.</br></br>Investors shunned tobacco stocks ahead of the government's opening arguments in its $280 billion civil racketeering lawsuit against the cigarette industry this week. Vector Group tumbled 89 cents, or 5.6%, to $14.93, and Universal Corp. lost 60 cents, or 1.4%, to 43.97, both on the New York Stock Exchange.</br></br>Large-cap Colgate-Palmolive's profit warning sent shares of consumer-products makers tumbling. Fragrance and decor company Blyth slipped 34 cents, or 1.1%, to 31.06, while scented-candle maker Yankee Candle Co. slipped 12 cents, or 0.4%, to 27.88, both on the New York Stock Exchange.</br></br>On top of these developments, oil prices closed above $46 a barrel in New York, reigniting concerns about the impact high fuel costs may have on consumer spending. When crude-oil prices rise above $45 a barrel, ""you are just taking money out of people's pockets,"" said Michael O'Hare, head of block trading at Lehman Brothers.",4.0,0
391,"Author: Stephen L. Bernard</br></br>NEW YORK--The dollar rose to the strongest point in nearly two months against the yen as traders remained upbeat about U.S. economic growth despite a disappointing report on retail sales.</br></br>The U.K. pound was among the best-performing currencies after the latest inflation reading bolstered expectations for an interest-rate increase in the coming months.</br></br>The euro traded in a volatile but tight range after news that gross domestic product in the bloc of euro-using nations rose 0.3% in the fourth quarter from the third quarter. That matched the pace in the third quarter.</br></br>Traders largely brushed aside news that U.S. retail sales rose by 0.3% in January, only half of what economists expected. Major snowstorms across much of the country last month likely kept shoppers at home. Fundamentals for expansion in the U.S. economy remain in place despite the temporary slowdown in retail sales growth, analysts said.",7.0,1
402,"WASHINGTON--New applications for unemployment benefits fell again last week, a fresh sign of an improving labor market.</br></br>Initial claims for jobless aid decreased by 3,000 to a seasonally adjusted 302,000 in the week ended July 12, the Labor Department said Thursday. That was the second lowest reading so far this year and was below the 310,000 new claims forecast by economists surveyed by The Wall Street Journal.</br></br>The four-week moving average of claims, which smooths out weekly volatility, fell by 3,000 to 309,000, its lowest level in seven years. A year ago, this measure stood at 345,000.</br></br>""The improvement has been substantial,"" said Ian Shepherdson, chief economist at Pantheon Macroeconomics.</br></br>Jobless claims traditionally jump this time of year because of temporary layoffs at auto-manufacturing plants, so the Labor Department adjusts the data in order to give a better picture of the underlying trend of layoffs. Auto makers traditionally halt production at some factories in the first half of July to prepare for model year changeovers.",7.0,1
405,"WASHINGTON -- The economy grew at a strong 4.9% annual rate in the fourth quarter of last year, the Commerce Department said, rather than the 3.9% rate estimated by the agency last month.</br></br>The large revision in the inflation-adjusted gross national product, the nation's total output of goods and services, was due principally to an unexpected reduction in December's trade deficit from the earlier estimate. For its earlier GNP report, the department had estimated that the December trade deficit would approach $10 billion, but in fact the deficit, as reported three weeks ago, was $8.2 billion. The deficit is a negative factor in calculating the GNP.</br></br>Most analysts believe the easing in the trade deficit is temporary, resulting from the economy's slowdown in the third quarter. They expect the rapid growth of the economy in the fourth quarter, combined with the continued strength of the dollar, to cause the deficit to get even larger next year.</br></br>The economy grew at a sluggish 1.6% rate in the third quarter. GNP in the fourth quarter of 1984 was 5.9% over the fourth quarter of 1983, rather than 5.6% as reported last month. And the full-year's output was 6.9% higher than in 1983, rather than 6.8% as previously reported.</br></br>The strong growth in the fourth quarter makes it clear that the economy began 1985 with considerable momentum.",7.0,1
407,"WASHINGTON -- The federal government posted a budget deficit of $44.3 billion in February, wider than the $38.36 billion in red ink a year earlier, the Treasury Department said.</br></br>But the first five months of fiscal 1996 looked a bit better, with the deficit shrinking to $80.8 billion from $96.1 billion in the same period a year earlier. The Clinton administration, often boasting that its programs have reduced the deficit, has forecast that the fiscal 1996 deficit will total $158 billion, down from $164 billion in the previous year, and that the country will show a surplus in 2002.</br></br>February's budget gap compared with a surplus of $19.27 billion in January. The government often shows a surplus in December and January, in line with tax payment cycles.</br></br>In its statement, the Treasury said receipts totaled $89.35 billion last month, compared with $82.54 billion a year earlier and $142.92 billion in January. Outlays totaled $133.64 billion last month, compared with $120.90 billion a year earlier and $123.65 billion in January.</br></br>---",7.0,1
409,"The U.S. dollar turned in another record-shattering performance yesterday, setting new highs against the British pound and the French franc and setting an 11 1/2-year high against the West German mark for the third consecutive day.</br></br>In late New York trading yesterday, the dollar stood at 2.9550 marks, ahead of the Wednesday record level of 2.9535. It also advanced to 9.0625 French francs, from Wednesday's record of 9.0590 francs. The pound declined still further, to $1.2834 from the previous low of $1.2837, also set on Wednesday.</br></br>""Even those of us in the strong dollar camp,"" said Nicholas Sargen, a vice president of Salomon Brothers. Inc., New York, ""are surprised at how strong the dollar is."" Traders said the dollar's strength yesterday -- which occurred despite a decline in long-term U.S. interest rates; an unexpected decline in M1, the basic U.S. money supply measure, and some limited profit-taking from the currency's advances earlier this week -- almost surely means the dollar will shortly test the critical three-mark level.</br></br>Any decline in U.S. interest rates hurts the dollar by making dollar-denominated investments look less attractive. Short-term U.S. interest rates, however, were relatively unchanged yesterday. Declines in M1 tend to hurt the dollar by easing pressure on the Federal Reserve to tighten credit conditions, which can lead to upward pressure on interest rates. But the decline in M1 in the latest reporting week was only $700 million; the market had generally expected an increase of about $500 million.</br></br>In early trading in Tokyo Friday, the dollar rose against the Japanese currency to 244.60 yen from 244.05 in New York yesterday afternoon.",7.0,1
415,"Stocks edged higher to resume their recent rally, helped by a rebound in the financial sector and renewed buying in energy and materials stocks as oil prices rallied.</br></br>After a brief decline in the morning, the Dow Jones Industrial Average turned up in the afternoon to end 74.96 points higher, or 0.9%, at 8750.24. It was the Dow's highest close in five months, leaving it fewer than 30 points from breakeven for the year.</br></br>Bank of America rose 5.9%. Chevron advanced 2.2%.</br></br>RBC Capital Markets upgraded its view on the banking sector as a whole to ""overweight"" from ""market weight,"" saying it believes the broader financial crisis has ended.</br></br>Oil prices jumped 4.1% to $68.81 a barrel, a seven-month closing high in New York, helped when Goldman Sachs lifted its price target to $75 a barrel.",6.0,1
418,"WASHINGTON -- Watch what consumers do and not what they say.</br></br>Despite steady drops in consumer confidence since the start of the year, consumers are borrowing again. Consumer installment credit has been rising at a fairly strong clip since December, in fact, its fastest growth rate since 1989.</br></br>Yesterday, the Federal Reserve said the debt loads of Americans fell in May by $802 million, or at an annual rate of 1.3%, but the central bank blamed the drop on a statistical quirk. The Fed said the decline came about when $3 billion of loans were sold to groups outside the scope of its survey. If these loans had been counted in the survey, the report would have shown the tenth increase in a row.</br></br>Auto loans in May rose a healthy $1.73 billion, or 7.9% at an annual rate, while credit-card debt and other revolving credit were up $942 million, or an annual rate of 4.3%.</br></br>""The overall dip is nothing to be concerned about,"" said Richard Berner, chief economist at Mellon Bank in Pittsburgh. ""This doesn't indicate any real retrenchment.""",3.0,0
421,"WASHINGTON -- The Federal Reserve eased credit another notch Friday, continuing its effort to revive the economy.</br></br>The move, which came shortly after the Labor Department announced a jump in the unemployment rate for February to 6.5%, will lower the interest rate on federal funds by a quarter of a point, to 6%. The federal funds rate is the rate on overnight loans between banks. It remains unclear what effect, if any, that move will have on mortgage rates or other bank lending rates.</br></br>In the credit markets, short-term interest rates fell slightly after the Fed's action, but interest rates on long-term bonds rose.</br></br>Chairman Alan Greenspan and other top Fed officials have said recently that the U.S.'s recession may be bottoming out, suggesting that the Fed's attempts to ease credit could end soon. However, Mr. Greenspan also has expressed concern that a ""credit crunch"" is still restricting bank lending and hurting the economy.</br></br>In the financial markets, many traders seem to share the view that the economy is looking up and that the Fed's campaign to ease credit is all but over. ""The markets appear to perceive this as the Fed's last easing move,"" said Robert Johnson, vice president, global markets, at Bankers Trust New York Corp.",3.0,0
428,"When stocks collapsed in a free fall last May, the fear was that the market had been taken over by high-speed computers that had run amok.</br></br>A year after the ""flash crash,"" which saw the Dow Jones Industrial Average plunge 600 points in less than 10 minutes, the stock market is a much quieter place.</br></br>Companies that use fast-trading, computer-driven strategies, which were painted by some as culprits of the collapse, have curtailed trading. So, too, have many long-term investors, for whom the trauma of that May 6 afternoon was the final straw after a decade of stock-market turmoil. In their absence, trading volume and volatility have plunged, further deterring high-frequency traders.</br></br>High-frequency strategies ""have less to work with, so they don't participate, which creates less volume,"" said Will Mechem, a managing partner at high-frequency trading firm Pan Alpha Trading. ""This would seem to be a vicious cycle.""</br></br>In the first four months of this year, average daily trading volume of stocks listed on the New York Stock Exchange and Nasdaq Stock Market is down 15% from 2010's pace, running at an average rate of 6.3 billion shares a day. Volume has been edging lower throughout the year, with April's daily average of 5.8 billion shares marking the slowest month since May 2008.",2.0,0
431,"Stocks fell after a trio of disappointing economic readings overshadowed better-than-expected earnings reports from Travelers and other companies.</br></br>The Dow Jones Industrial Average declined 68.65 points, or 0.53%, to 12964.10. The Standard Poor's 500-stock index shed 8.22 points, or 0.59%, to 1376.92, and the Nasdaq Composite fell 23.89 points, or 0.79% to 3007.56.</br></br>The information-technology and industrials sectors led the S&P 500 lower amid downbeat labor, housing and manufacturing readings.</br></br>Just three of the Dow's 30 components advanced. Travelers gained $2.23, or 3.7%, to $61.70 and Verizon Communications rose 49 cents, or 1.3%, to 38.15 after both reported first-quarter results that beat analysts' projections. General Electric gained four cents, or 0.2%, to 19.14 ahead of its results Friday.</br></br>""This whole market ran out of steam halfway through the day,"" said Jonathan Corpina, senior managing partner of New York Stock Exchange floor broker Meridian Equity Partners. ""It just seems to be getting worse and worse as the day goes on. All the European headlines are really catching up right now.""",3.0,0
434,"NEW YORK -- The euro eked out an advance against the dollar as investors turned modestly optimistic about the pace of the global economic recovery, despite lingering concerns over the euro-zone debt crisis.</br></br>Unconfirmed reports of strong Chinese export figures boosted currencies closely tied to global economic growth, while Federal Reserve Chairman Ben Bernanke's cautiously optimistic tone on the U.S. economy also supported the rally.</br></br>But a late-afternoon slip in U.S. stocks threw cold water on the run-up in riskier currencies, and investors likely pared their euro holdings ahead of Thursday's meeting of the European Central Bank, said Ron Leven, currency strategist at Morgan Stanley in New York. The central bank isn't expected to increase its target rates. Still, investors will listen closely for details on how the bank is dealing with issues related to euro-zone sovereign debt.</br></br>As investors took risk off the table in late afternoon, the dollar hit an intraday low against the yen. The Japanese currency tends to strengthen when investors unwind bets on higher-yielding currencies.</br></br>By late afternoon in New York, the euro was at $1.1987, compared with $1.1947 late Tuesday in New York. The dollar was at 91.17 yen from 91.39 yen. The euro was at 109.28 yen from 109.18 yen. The U.K. pound strengthened to $1.4533 from $1.4426. The dollar weakened to 1.1478 Swiss francs, from 1.1527 francs.",4.0,0
437,"NEW YORK -- A weaker dollar and heavy selling by some foreign investors depressed long-term bonds, while short-term securities rose amid continued speculation that the Federal Reserve will ease credit policies.</br></br>The Treasury's benchmark 30-year bond fell more than 5/8 point, or about $6.25 per $1,000 face amount. The bond's yield, which moves in the opposite direction from its price, rose to 8.13% from 8.06% Monday. Meanwhile, bond-equivalent yields on three-month Treasury bills fell to 8.02% from an average of 8.24% at the government's auction on Monday.</br></br>As a result, the 30-year bonds now yield more than three-month Treasury bills for the first time since May 23. This relationship, in which short-term rates drop below long-term rates, is known as a ""positive yield curve"" and is often viewed as a sign that investors are expecting stable or possibly higher long-term interest rates down the road.</br></br>If the positive yield curve remains that way, it could also signal that the powerful bond market rally ""may be close to its end,"" said Charles Lieberman, a managing director at Manufacturers Hanover Securities Corp.</br></br>The yield curve had been ""inverted"" for most of the past three months. That's an unusual configuration where long-term bond yields stand below the yields on short-term Treasury bills.",3.0,0
438,"Wal-Mart Stores Inc. boosted its August sales-growth forecast and said it may post its largest monthly sales gain in more than a year, a sign that consumer spending continues to accelerate despite setbacks such as the blackout that struck much of the Northeast and Midwest two weeks ago.</br></br>The world's largest retailer said sales at stores open more than a year should increase 4% to 6%, somewhat better than its previous estimate of 3% to 5%. Although modest, the sales gains would be the largest such increase for the retailing giant in more than a year.</br></br>The improved forecast is the latest evidence that a nascent economic recovery is under way. Although battered by terrorism, war and economic uncertainty following the collapse of the Internet bubble, consumer spending has been a mainstay of the weak U.S. economy, fueled most recently by low interest rates that sparked a home-refinancing boom.</br></br>Wal-Mart attributed the improved forecast to a greater-than-expected number of shoppers and larger average purchases, bolstered by a cut in tax withholding and tax-refund checks of as much as $400 a child.</br></br>""People seem to be more inclined to shop right now,"" said Tom Williams, a spokesman for the Bentonville, Ark., discount retailer.",7.0,1
439,"WASHINGTON -- The U.S. trade deficit increase in May raised concerns about the strength of the nation's export market.</br></br>The trade gap grew to $7.38 billion from April's revised deficit of $7.06 billion, the Commerce Department said. It was the third month in a row that the trade gap has widened, and placed it at its largest level in a year and a half.</br></br>The May deficit is troublesome because of a substantial drop in exports, which have been largely credited with helping to lead the nation back to economic health. But as other nations struggle with their own economic problems, their demand for U.S. goods slackens.</br></br>Exports totaled $35.49 billion in May, down 2.5% from April. The drop reflected decreases in overseas sales of foods, capital goods and automotive vehicles, parts and engines.</br></br>The drop in capital goods reflected a large decline in sales of civilian aircraft, which fell more than 28%.",3.0,0
441,"NEW YORK -- The dollar stumbled yesterday as the yen drew strength from the third steepest rise in Tokyo stock market history, fueled by optimism over passage of Japan's long-stalled political-reform package during the weekend.</br></br>In addition, any hopes for a dollar recovery after Alan Greenspan, Federal Reserve chairman, said interest rates will rise eventually were immediately put to rest when President Clinton termed low interest rates ""critical"" to the U.S. economic recovery.</br></br>Late in New York, the dollar was quoted at 1.7345 marks, down from 1.7425 marks late Friday in New York. The U.S. currency also was changing hands at 108.70 yen, down from 110 yen. Sterling was trading at $1.5060, up from $1.4945.</br></br>About midday Tuesday in Tokyo, the dollar was trading at 108.25 yen and at 1.7340 marks.</br></br>The Nikkei index of 225 selected issues rocketed 7.8% to a three-month high of 20,229.12, after Morihiro Hosokawa, Japan's prime minister, pushed through the compromise reform package on which he had staked his political career.",4.0,0
447,"NEW YORK -- Prices of Treasury bonds slumped yesterday as dealers and investors were shaken by a sharp drop in the U.S. dollar's value against other major currencies.</br></br>Some actively traded U.S. government bonds fell more than half a point, or $5 for each $1,000 face amount. Interest rates declined at the weekly auction of Treasury bills, but most other short-term rates rose.</br></br>Adding to investor jitters was a rise in the price of oil. Prices of gold and other precious metals viewed as harbingers of inflation also rose.</br></br>""Investors are growing increasingly concerned that the dollar's weakness could make foreigners reluctant to buy dollar-denominated securities,"" said Maury N. Harris, chief economist at PaineWebber Inc. Foreign investors have purchased large amounts of Treasury bonds in recent years, helping the U.S. government finance its huge budget deficits.</br></br>Furthermore, a continued drop in the dollar might rekindle inflationary pressures and cause the Federal Reserve not to ease credit, some investment managers say. Analysts generally have been expecting the Fed to drive interest rates lower to try to to stimulate economic growth.",3.0,0
449,"Dow Jones Newswires</br></br>NEW YORK -- Home mortgage rates fell during the past week, as economic news reflected stable growth and low inflation, said Freddie Mac, the housing-finance agency.</br></br>The average for 30-year fixed mortgage rates for the week ended yesterday fell to 5.77% from 5.81% a week earlier, Freddie Mac said in its weekly primary mortgage-market survey. A year ago, the 30-year mortgage averaged 5.87%.</br></br>The rate for five-year Treasury-indexed hybrid adjustable-rate mortgages, a new addition to the primary mortgage-market survey, averaged 5.03%.</br></br>The rate for one-year Treasury-indexed ARMs fell to 4.10% from last week's average of 4.19%. A year ago, the one-year ARM averaged 3.76%.",6.0,1
